The Discovery Medical Scheme Rates are applicable for services rendered from 01 January 2017,,,,,,,,,
R0.00: Discovery Medical Scheme does not pay for this procedure code.,,,,,,,,,
For detailed code descriptions please visit: https://www.medicalschemes.com/Publications.aspx and select NHRL Schedules on the left hand side and select “2006 Lists (version 0.6) from the Category dropdown list.,,,,,,,,,
Procedure Code,Procedure Description ,054,062,064,092,094,096,098,
8091,Medicine used during a dental visit,,,,,,,,
8092,Admin fee (direct material),,,,,,,,
8093,Dentist administration of Dental Technician's account,,,,,,,,
8099,Dental laboratory service,,,,,,,,
8101,Oral examination,213.80,,,,,213.80,,
8102,Comprehensive oral examination,320.90,,,,,320.90,,
8104,Limited oral examination,103.60,,,,,103.60,,
8106,Special report,203.90,203.90,203.90,203.90,203.90,203.90,,
8107,Intraoral radiograph - periapical,92.70,92.60,92.60,92.60,92.60,92.70,,
8108,Intraoral radiographs - complete series,622.60,622.60,622.60,622.60,622.60,622.60,,
8109,Infection control/barrier techniques,20.60,20.60,20.60,20.60,20.60,20.60,20.60,
8110,Sterilized instrumentation,46.10,46.10,46.10,46.20,46.10,46.10,46.10,
8111,Dental testimony,,,,,,,,
8112,Intraoral radiograph - bitewing,92.70,92.60,92.60,92.60,92.60,92.70,,
8113,Intraoral radiograph - occlusal,138.60,138.60,138.60,138.60,138.60,138.60,,
8114,Extraoral radiograph - hand-wrist,321.50,321.50,321.50,321.50,321.50,321.50,,
8115,Extraoral radiograph - panoramic,321.50,321.50,321.50,321.50,321.50,321.50,,
8116,Extraoral radiograph - cephalometric,321.50,321.50,321.50,321.50,321.50,321.50,,
8117,Diagnostic models,86.20,86.20,86.20,86.20,86.20,86.20,,
8118,Extraoral radiograph - skull/facial bone,321.50,321.50,321.50,321.50,321.50,321.50,,
8119,Diagnostic models mounted,217.10,217.10,217.10,217.10,217.10,217.10,,
8120,Treatment plan completed,,,,,,,,
8121,Oral and/or facial image (digital/conventional),86.20,86.20,86.20,86.20,86.20,86.20,,
8122,Microbiological studies,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
8123,Caries susceptibility tests (By Arrangement),0.00,0.00,0.00,0.00,0.00,0.00,0.00,
8124,Pulp tests,23.70,23.70,23.70,23.70,23.70,23.70,23.70,
8129,Office/hospital visit  after regularly scheduled hours,299.10,324.30,324.30,299.10,324.30,299.10,299.10,
8131,Emergency dental treatment,121.90,121.90,121.90,121.90,248.70,121.90,121.90,
8132,Pulp removal (pulpectomy),229.70,,,,229.50,229.70,,
8133,"Recement inlay, onlay, crown or veneer",121.90,,,,155.10,121.90,,
8135,"Remove inlay, onlay or crown",242.90,,,,242.90,242.90,,
8136,Access through a prosthetic crown or inlay to facilitate root canal treatment,108.80,,,,108.80,108.80,,
8137,Emergency crown (chair-side),418.40,,,,418.40,418.40,,
8138,Remove retention post (prefabricated or cast),159.30,,,,,159.30,,
8139,Appointment not kept /30min,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
8140,House/extended care facility/hospital call,198.10,221.80,198.10,198.10,198.10,198.10,198.10,
8141,Inhalation sedation - first 15 minutes or part thereof,89.30,89.30,89.30,89.30,89.30,89.30,89.30,
8143,Inhalation sedation - each addnl 15 minutes,46.30,46.30,46.30,46.30,46.30,46.30,46.30,
8144,Intravenous sedation,53.50,53.50,53.50,53.50,53.50,53.50,53.50,
8145,Local anaesthetic - per visit,83.50,79.00,78.70,78.80,78.70,83.50,78.70,
8146,Resin bonding for restorations,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
8147,Monitoring equipment for intravenous sedation,190.50,190.50,190.50,190.60,190.50,190.50,190.50,
8148,Use of dental operating microscope,,,,,,,,
8149,Nutritional counselling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
8150,Tobacco counselling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
8151,Oral hygiene instruction,121.90,121.90,121.90,244.00,244.00,121.90,,
8153,Oral hygiene instruction - each additional visit,89.30,,,117.50,117.50,89.30,,
8155,Polishing - complete dentition,121.90,121.90,121.90,168.40,121.90,121.90,,
8157,Re-burnishing and polishing of restorations - complete dentition,121.90,,,,,121.90,,
8158,Enamel microabrasion,111.70,,,,,111.70,,
8159,Prophylaxis - complete dentition,239.80,239.80,239.80,338.00,239.80,239.80,,
8160,Removal of gross calculus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
